pano_id,lat,lon,filename
'-9B2wMfaom_M3Gd2wS-Iug,24.16305466,120.6413495,'-9B2wMfaom_M3Gd2wS-Iug.jpg
'-AyiT6OEo5yFs1mmXRSazg,24.16333252,120.6400558,'-AyiT6OEo5yFs1mmXRSazg.jpg
'-bQpUph9J1Wz4maL0gH71w,24.18238093,120.6416473,'-bQpUph9J1Wz4maL0gH71w.jpg
'-bS_h9fBvMY18BLKdujsyQ,24.16728024,120.6414359,'-bS_h9fBvMY18BLKdujsyQ.jpg
'-bYXcWspI9ROdIduA2o5LA,24.17682015,120.6439525,'-bYXcWspI9ROdIduA2o5LA.jpg
'-c3QlflIE5EVZZ2lZTOkkQ,24.17718006,120.6535612,'-c3QlflIE5EVZZ2lZTOkkQ.jpg
'-EYhVYzvKeUws0u83KcXLg,24.17973623,120.6423411,'-EYhVYzvKeUws0u83KcXLg.jpg
'-f7s8zrtW8zAT9FxO08gOQ,24.18021364,120.649387,'-f7s8zrtW8zAT9FxO08gOQ.jpg
'-FCyCmr9Rz-2qJIlCYIdsw,24.16593135,120.643236,'-FCyCmr9Rz-2qJIlCYIdsw.jpg
'-JVtP8YYrNOHpgAtu3r7cQ,24.17847946,120.6437965,'-JVtP8YYrNOHpgAtu3r7cQ.jpg
'-nivFmPqosj6vqLnXaBm8A,24.18370228,120.644186,'-nivFmPqosj6vqLnXaBm8A.jpg
'-pgUZ5YyVkSZSEIMfxd9fw,24.18346973,120.6451535,'-pgUZ5YyVkSZSEIMfxd9fw.jpg
'-zL8gBwj-5fS8cpNJ7KnLA,24.18064344,120.6525035,'-zL8gBwj-5fS8cpNJ7KnLA.jpg
'-_h6e2hssvvcdDJ6nkCV_g,24.18576617,120.6525304,'-_h6e2hssvvcdDJ6nkCV_g.jpg
'00DquB-DfEC6IOotEIJWAw,24.17955467,120.6475611,'00DquB-DfEC6IOotEIJWAw.jpg
'01mtkfSfiIT6bGocgBVEMA,24.16608631,120.6404117,'01mtkfSfiIT6bGocgBVEMA.jpg
'02Yw0sNAkEx_rhFkrdlrZQ,24.1662276,120.643789,'02Yw0sNAkEx_rhFkrdlrZQ.jpg
'03xt4-86KE2UaU95_yCEYw,24.18229068,120.6438169,'03xt4-86KE2UaU95_yCEYw.jpg
'06wX1ys-OXkAMpSzM1QUAw,24.17859768,120.6409769,'06wX1ys-OXkAMpSzM1QUAw.jpg
'0Br-TQvWiAdyeqFJFLoHrg,24.17966251,120.6497656,'0Br-TQvWiAdyeqFJFLoHrg.jpg
'0E8EyXzW5ryX6WNMT7nhNQ,24.18111172,120.6515632,'0E8EyXzW5ryX6WNMT7nhNQ.jpg
'0f6ySm15QuO3Ol6yPvVS-g,24.18511926,120.6437361,'0f6ySm15QuO3Ol6yPvVS-g.jpg
'0gaakOk38fGw8I8JsJkJnQ,24.18668016,120.6519355,'0gaakOk38fGw8I8JsJkJnQ.jpg
'0H4tT-pP_S2pO58SoqsJAQ,24.18380491,120.6543921,'0H4tT-pP_S2pO58SoqsJAQ.jpg
'0IHPkF2wiLdpxNb7Y_N0wA,24.16464001,120.6435779,'0IHPkF2wiLdpxNb7Y_N0wA.jpg
'0J3VlELUvXrGZ3fUgiHUPw,24.16616113,120.6403995,'0J3VlELUvXrGZ3fUgiHUPw.jpg
'0rUR226bBQQm2HYxOy0o5A,24.1873802,120.6431264,'0rUR226bBQQm2HYxOy0o5A.jpg
'0VpIgB7Kn6Iq0x6GJcHvTw,24.16468945,120.6436783,'0VpIgB7Kn6Iq0x6GJcHvTw.jpg
'0wfH2nSl9UKQ-F1hz25yTQ,24.18313378,120.6407314,'0wfH2nSl9UKQ-F1hz25yTQ.jpg
'0yoKuzC-350WLvKUFq7P8g,24.16370829,120.642204,'0yoKuzC-350WLvKUFq7P8g.jpg
'0yOPIg6GT0CnjAewY9fEjQ,24.18261255,120.6505357,'0yOPIg6GT0CnjAewY9fEjQ.jpg
'1-p1hsydK9okJ5r8Rj5Qlg,24.17848278,120.6490473,'1-p1hsydK9okJ5r8Rj5Qlg.jpg
'15RYeQXuVdLZVQyPNxWfmA,24.16509879,120.6392626,'15RYeQXuVdLZVQyPNxWfmA.jpg
'1CKdLEx94ndqOF-_llK_Pw,24.16300109,120.6438685,'1CKdLEx94ndqOF-_llK_Pw.jpg
'1d11uejDVeSZw-fUwHh_lA,24.17968154,120.6528805,'1d11uejDVeSZw-fUwHh_lA.jpg
'1FyBIyuxOaH1LKr2lcTjwg,24.18200272,120.6531221,'1FyBIyuxOaH1LKr2lcTjwg.jpg
'1hh4BjeA6-muuuxaXlV7Hg,24.18536516,120.6438025,'1hh4BjeA6-muuuxaXlV7Hg.jpg
'1lNph1wsmagVo95x2NqnWA,24.16655194,120.6399287,'1lNph1wsmagVo95x2NqnWA.jpg
'1MyIMHx2MayR38d2XTCbAg,24.16724884,120.639087,'1MyIMHx2MayR38d2XTCbAg.jpg
'1nzcih2HQ1qRUCNT1LFdMA,24.18221472,120.6491161,'1nzcih2HQ1qRUCNT1LFdMA.jpg
'1OdBVitOkl_lGQYdhbOdSw,24.17783998,120.6541747,'1OdBVitOkl_lGQYdhbOdSw.jpg
'1osnpuv8WRscnFrfbDEcmQ,24.16713465,120.6407639,'1osnpuv8WRscnFrfbDEcmQ.jpg
